Region Name,Region Code,average,state_id
Acadia,22001,19.6,LA
Aleutians,2013,11.9,AK
Aleutians,2016,6.7,AK
Alexandria,51510,8.3,VA
Allen,22003,16.8,LA
Anchorage,2020,7.7,AK
Ascension,22005,10,LA
Assumption,22007,14.9,LA
Avoyelles,22009,20.7,LA
Baltimore,24510,20.6,MD
Beauregard,22011,14.2,LA
Bethel,2050,21.6,AK
Bienville,22013,20.7,LA
Bossier,22015,13.4,LA
Bristol,51520,16.7,VA
Bristol Bay,2060,7.7,AK
Buena Vista,51530,12.6,VA
Caddo,22017,22.2,LA
Calcasieu,22019,15.3,LA
Caldwell,22021,18.5,LA
Cameron,22023,9.7,LA
Carson,32510,12.5,NV
Catahoula,22025,20.8,LA
Charlottesville,51540,19.8,VA
Chesapeake,51550,7.8,VA
Claiborne,22027,27.4,LA
Colonial Heights,51570,8.4,VA
Concordia,22029,23.7,LA
Covington,51580,13,VA
Danville,51590,19.1,VA
De Soto,22031,19.7,LA
Denali,2068,5.5,AK
Dillingham,2070,15.1,AK
District of Columbia,11001,16.9,DC
East Baton Rouge,22033,17.1,LA
East Carroll,22035,34.7,LA
East Feliciana,22037,16.2,LA
Emporia,51595,18.6,VA
Evangeline,22039,21.3,LA
Fairbanks,2090,6.8,AK
Fairfax,51600,6,VA
Falls Church,51610,2.6,VA
Franklin,22041,23,LA
Franklin,51620,15.6,VA
Fredericksburg,51630,12.1,VA
Galax,51640,17.5,VA
Grant,22043,17.7,LA
Haines,2100,8,AK
Hampton,51650,13.2,VA
Harrisonburg,51660,24.4,VA
Hoonah-Angoon,2105,13.8,AK
Hopewell,51670,16.2,VA
Iberia,22045,18.3,LA
Iberville,22047,17.2,LA
Jackson,22049,18.9,LA
Jefferson,22051,14.7,LA
Jefferson Davis,22053,16.8,LA
Juneau,2110,6.3,AK
Kenai Peninsula,2122,9.4,AK
Ketchikan Gateway,2130,8.4,AK
Kodiak Island,2150,5.9,AK
La Salle,22059,14.8,LA
Lafayette,22055,14.8,LA
Lafourche,22057,13.7,LA
Lake and Peninsula,2164,14.1,AK
Lexington,51678,18.1,VA
Lincoln,22061,24.7,LA
Livingston,22063,10.3,LA
Lynchburg,51680,18,VA
Madison,22065,31.4,LA
Manassas,51683,7.4,VA
Manassas Park,51685,6.2,VA
Martinsville,51690,18.2,VA
Matanuska-Susitna,2170,8.9,AK
Morehouse,22067,24.4,LA
Natchitoches,22069,27.1,LA
Newport News,51700,14,VA
Nome,2180,19.8,AK
Norfolk,51710,19.3,VA
North Slope,2185,9.3,AK
Northwest Arctic,2188,21.8,AK
Norton,51720,17.9,VA
Orleans,22071,23.5,LA
Ouachita,22073,21.4,LA
Petersburg,2195,6.3,AK
Petersburg,51730,21.3,VA
Plaquemines,22075,13.1,LA
Pointe Coupee,22077,15.1,LA
Poquoson,51735,4.2,VA
Portsmouth,51740,15.2,VA
Prince of Wales-Hyder,2198,13.5,AK
Radford,51750,25.1,VA
Rapides,22079,17.6,LA
Red River,22081,19.6,LA
Richland,22083,21.3,LA
Richmond,51760,22.7,VA
Roanoke,51770,17.8,VA
Sabine,22085,16.6,LA
Salem,51775,7.9,VA
Sitka,2220,6.5,AK
Skagway,2230,3.1,AK
Southeast Fairbanks,2240,10,AK
St. Bernard,22087,17.1,LA
St. Charles,22089,9.7,LA
St. Helena,22091,18.3,LA
St. James,22093,14,LA
St. John the Baptist,22095,15.9,LA
St. Landry,22097,24.1,LA
St. Louis,29510,22.8,MO
St. Martin,22099,14.9,LA
St. Mary,22101,17.4,LA
St. Tammany,22103,9.5,LA
Staunton,51790,11.5,VA
Suffolk,51800,10.3,VA
Tangipahoa,22105,19,LA
Tensas,22107,26.6,LA
Terrebonne,22109,17.8,LA
Union,22111,16.1,LA
Valdez-Cordova,2261,7.2,AK
Vermilion,22113,15,LA
Vernon,22115,13.6,LA
Virginia Beach,51810,7.2,VA
Wade Hampton,2270,30,AK
Washington,22117,22.1,LA
Waynesboro,51820,12,VA
Webster,22119,19.4,LA
West Baton Rouge,22121,13.4,LA
West Carroll,22123,17.7,LA
West Feliciana,22125,17.8,LA
Williamsburg,51830,17.1,VA
Winchester,51840,11.8,VA
Winn,22127,19.7,LA
Wrangell,2275,9.2,AK
Yakutat,2282,11.7,AK
Yukon-Koyukuk,2290,19.3,AK
