state,n_incidents,lawtotal,firearm_agencies,poverty_percent,permits_granted,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,H_MALE,H_FEMALE
Alabama,1318,10,1294,18.8,621305,4846411,2348049,2498362,1659265,1716758,601790,689993,16888,16531,30377,34367,107419,91687
Alaska,146,3,663,10.8,87623,737046,387669,349377,263114,229645,16505,12146,55575,53850,21459,23508,27029,23589
Arizona,556,8,1997,17.9,310672,6728783,3343545,3385238,2797964,2835259,165896,152696,176954,181144,103983,117720,1032807,1022753
Arkansas,572,11,3687,18.3,234282,2966835,1457148,1509687,1167880,1195822,220845,242755,14245,14347,21512,23559,110126,98494
California,3732,100,3077,16.3,1474616,38792291,19265990,19526301,14228817,14165706,1253583,1282346,326115,314934,2649302,2940021,7534181,7438126
Colorado,556,30,1893,11.8,413284,5355588,2690349,2665239,2361572,2337359,126952,112344,42959,41524,77337,91816,578224,557126
Connecticut,583,85,339,10.5,270297,3594762,1752990,1841772,1427170,1491229,197447,215592,9659,9019,77758,84108,270209,270301
Delaware,493,38,134,12.5,42950,935968,453031,482937,323103,338569,98258,110350,3071,3036,17145,18416,42563,40315
District of Columbia,838,,7,17.5,512,659836,312938,346898,144547,143545,146952,175917,1926,1829,11229,15436,35013,33633
Florida,3138,21,3488,16.4,1034546,19905569,9725776,10179793,7605785,7884958,1607469,1736869,51285,46614,255887,298170,2368557,2430821
Georgia,2032,6,2109,18.1,484580,10097132,4926087,5171045,3115290,3146242,1492882,1691479,27053,23808,188932,201572,493571,439072
Hawaii,48,78,64,11.0,15225,1420257,718888,701369,209797,169354,21635,13381,3537,2839,247168,284604,75307,69432
Idaho,115,5,1025,14.3,131742,1634806,818714,816092,765899,763499,7788,5600,14248,13959,10625,12863,101658,95076
Illinois,3095,65,2387,14.1,1344096,12882189,6322528,6559661,4943085,5038920,888889,1004459,38573,35998,331452,356925,1102653,1048097
Indiana,1203,11,1482,14.9,647550,6597880,3250025,3347855,2802681,2874545,303853,327173,13526,12709,66307,68186,224797,207192
Iowa,569,25,1426,12.0,127022,3109481,1543995,1565486,1416047,1445065,56390,50126,7829,7566,35333,34814,90617,82971
Kansas,381,8,1234,13.2,172167,2902507,1446969,1455538,1254517,1266793,93515,87734,17396,17038,39612,41912,171768,158321
Kentucky,977,7,1452,18.6,2492184,4412617,2172234,2240383,1915721,1978425,180216,182563,6738,6190,29136,32102,81578,67503
Louisiana,1906,12,1290,19.5,315357,4648990,2273370,2375620,1459940,1485558,717925,792198,17805,17476,40642,42374,121810,103609
Maine,183,11,292,13.5,83085,1330256,651591,678665,618323,645952,10801,8103,4466,4637,6898,8903,10253,10067
Maryland,1266,63,599,10.1,142207,5975346,2895595,3079751,1772429,1813597,845522,966304,17216,15939,180146,199290,288962,265347
Massachusetts,968,101,335,11.4,179344,6755124,3275404,3479720,2705707,2870620,271916,290203,16334,15729,204873,223977,363685,370143
Michigan,1447,20,2300,16.0,424091,9916306,4871883,5044423,3915037,4004216,670242,741273,35491,35373,139202,147331,241989,234900
Minnesota,450,39,1809,11.1,481122,5457125,2712045,2745080,2321894,2354025,163510,156899,36269,36115,125941,132348,144906,132813
Mississippi,784,5,998,21.4,214829,2993443,1454026,1539417,883624,901434,528730,594052,8812,8832,14436,16264,50865,38984
Missouri,1272,8,2465,15.2,517063,6063827,2974509,3089318,2493715,2568234,340511,374583,16764,16147,55584,61473,124318,116184
Montana,128,4,1282,14.7,121836,1023252,514160,509092,460025,454520,3681,2288,33481,33971,3253,4871,18101,17549
Nebraska,347,22,863,11.9,68568,1882980,938007,944973,836909,845151,47552,45024,13189,12920,20355,21685,100595,91451
Nevada,376,11,658,15.0,116735,2838281,1426015,1412266,1100592,1061970,129355,129134,23117,23420,106568,129754,400411,388762
New Hampshire,230,10,277,8.8,124677,1327996,655965,672031,616174,633107,10898,8469,2005,1835,15964,17769,22177,21600
New Jersey,1521,67,296,10.9,92320,8938844,4362090,4576754,3202327,3321371,625017,696665,27395,25431,412211,434960,868413,859410
New Mexico,320,10,729,20.1,139780,2085567,1033502,1052065,855859,869440,28710,23983,105876,112281,16000,19072,493921,500626
New York,1903,74,1565,15.8,365427,19748858,9583023,10165835,6825481,7083642,1616141,1855906,95596,93734,806912,877069,1815961,1860989
North Carolina,2165,30,2513,17.0,1182349,9940387,4842561,5097826,3498244,3601777,1030401,1167031,76897,77826,130761,139991,468676,423630
North Dakota,110,14,473,10.5,70548,740040,379140,360900,337100,321795,9326,6276,20125,20532,5025,4812,12880,10934
Ohio,2368,15,2625,15.6,596389,11596998,5676001,5920997,4724726,4891478,700925,766035,16204,15286,112470,122608,206893,196471
Oklahoma,642,9,1696,16.3,348495,3879610,1921259,1958351,1443601,1468824,149764,150016,174915,178244,39372,42532,201676,182695
Oregon,398,24,1599,16.0,243044,3971202,1964225,2006977,1727310,1762613,43743,37674,36182,34818,78244,91595,257624,239076
Pennsylvania,2267,37,3273,13.4,899241,12793767,6255456,6538311,5195552,5401109,716348,772238,22561,21853,202142,218304,430032,413253
Rhode Island,189,43,60,14.3,20400,1054907,510902,544005,434439,463263,40286,41120,4913,5149,17219,19463,73710,74183
South Carolina,1660,12,1184,17.6,289764,4829160,2347858,2481302,1626912,1673152,629110,711955,13522,12337,34887,39567,140256,119611
South Dakota,72,5,572,13.6,83659,853304,429200,424104,366954,363921,9517,6190,37705,38743,5449,5720,16491,14164
Tennessee,1590,24,1525,17.9,533394,6547779,3192163,3355616,2534658,2632225,529688,589215,15393,13496,53049,59592,175118,154737
Texas,3133,20,7920,17.0,1465992,26979078,13390553,13588525,10758890,10820964,1626582,1735551,140155,132790,601502,631451,5238198,5181408
Utah,217,11,1028,11.4,263812,2944498,1480607,1463891,1352902,1339039,21948,17102,22549,22313,33195,37451,205241,194032
Vermont,170,3,229,11.4,31502,626767,308814,317953,293198,301872,4385,3496,1205,1143,4393,5448,5657,5501
Virginia,1273,12,1732,11.6,419764,8328098,4096997,4231101,2918882,2954912,784781,853773,23455,21284,249397,278361,380446,353808
Washington,656,41,1287,12.9,482115,7063166,3530195,3532971,2856361,2841619,155563,132200,68056,66052,268360,309342,446559,413351
West Virginia,362,24,871,17.8,221847,1848751,912765,935986,852597,880293,35940,30696,2300,2058,6990,8047,14324,12622
Wisconsin,1065,24,1682,13.0,334308,5759432,2860614,2898818,2514992,2541601,186617,193119,32412,31877,74925,79291,193742,179513
Wyoming,64,6,698,10.6,63063,584304,297917,286387,275996,265762,5265,3631,7945,7727,2675,3220,29996,27273
